iter	Passed	Remaining
0	154	154671
1	158	79033
2	163	54430
3	169	42211
4	177	35340
5	181	30086
6	188	26785
7	193	24015
8	201	22185
9	206	20417
10	211	19023
11	217	17905
12	224	17029
13	228	16057
14	233	15348
15	239	14758
16	245	14214
17	251	13739
18	256	13267
19	263	12894
20	266	12410
21	268	11930
22	272	11596
23	275	11193
24	276	10799
25	279	10457
26	281	10133
27	284	9875
28	286	9585
29	287	9302
30	289	9039
31	290	8791
32	293	8597
33	297	8446
34	301	8304
35	302	8102
36	305	7947
37	308	7808
38	309	7633
39	311	7476
40	313	7321
41	314	7170
42	315	7025
43	319	6940
44	320	6810
45	322	6690
46	323	6568
47	325	6450
48	326	6335
49	328	6239
50	330	6150
51	332	6058
52	333	5961
53	334	5866
54	336	5775
55	338	5700
56	339	5617
57	342	5563
58	344	5488
59	345	5410
60	346	5334
61	347	5261
62	349	5201
63	350	5131
64	352	5077
65	355	5023
66	356	4961
67	356	4892
68	358	4832
69	359	4777
70	360	4721
71	361	4664
72	366	4657
73	368	4610
74	369	4560
75	371	4514
76	372	4466
77	373	4418
78	374	4371
79	378	4347
80	379	4303
81	380	4259
82	382	4222
83	383	4181
84	384	4137
85	385	4097
86	388	4072
87	390	4042
88	391	4005
89	393	3973
90	394	3939
91	395	3908
92	397	3877
93	402	3880
94	403	3847
95	405	3814
96	406	3782
97	408	3758
98	409	3727
99	410	3697
100	415	3695
101	415	3662
102	417	3633
103	418	3604
104	420	3580
105	421	3553
106	422	3528
107	425	3511
108	427	3492
109	428	3466
110	429	3441
111	430	3416
112	432	3397
113	434	3373
114	435	3353
115	439	3351
116	441	3328
117	442	3305
118	443	3280
119	445	3263
120	446	3242
121	447	3220
122	449	3202
123	451	3188
124	452	3168
125	454	3150
126	455	3133
127	456	3111
128	457	3091
129	459	3072
130	461	3063
131	463	3045
132	464	3027
133	465	3009
134	467	2995
135	468	2978
136	469	2959
137	472	2950
138	474	2938
139	475	2923
140	478	2914
141	480	2900
142	482	2892
143	486	2893
144	489	2884
145	490	2871
146	492	2858
147	495	2850
148	499	2852
149	501	2842
150	503	2828
151	506	2825
152	509	2821
153	512	2817
154	514	2806
155	521	2820
156	523	2812
157	525	2799
158	526	2787
159	529	2778
160	532	2776
161	535	2768
162	537	2758
163	539	2748
164	542	2744
165	546	2746
166	548	2737
167	550	2728
168	552	2716
169	556	2717
170	558	2709
171	560	2699
172	562	2689
173	564	2677
174	568	2679
175	570	2671
176	572	2663
177	574	2653
178	579	2659
179	582	2651
180	583	2638
181	585	2629
182	586	2619
183	588	2610
184	590	2599
185	592	2592
186	595	2587
187	598	2584
188	600	2575
189	601	2565
190	603	2556
191	605	2550
192	608	2545
193	611	2540
194	613	2530
195	614	2521
196	617	2517
197	619	2508
198	623	2509
199	625	2500
200	626	2492
201	629	2484
202	631	2480
203	637	2486
204	638	2477
205	641	2471
206	642	2463
207	644	2455
208	648	2456
209	650	2446
210	651	2436
211	653	2429
212	654	2419
213	656	2410
214	658	2405
215	661	2402
216	663	2394
217	664	2385
218	666	2377
219	668	2368
220	670	2362
221	673	2359
222	675	2352
223	677	2346
224	679	2339
225	680	2331
226	685	2333
227	687	2326
228	688	2319
229	690	2311
230	691	2303
231	694	2297
232	698	2299
233	699	2290
234	701	2284
235	703	2276
236	704	2267
237	705	2259
238	710	2260
239	711	2253
240	713	2246
241	714	2238
242	716	2231
243	717	2222
244	720	2220
245	722	2212
246	723	2204
247	725	2198
248	726	2190
249	727	2182
250	729	2177
251	733	2177
252	734	2169
253	736	2162
254	737	2156
255	739	2149
256	740	2141
257	744	2142
258	746	2135
259	747	2128
260	749	2122
261	750	2115
262	752	2107
263	753	2100
264	755	2096
265	757	2089
266	758	2082
267	759	2074
268	761	2068
269	762	2062
270	764	2055
271	767	2054
272	769	2048
273	770	2042
274	772	2035
275	773	2029
276	774	2022
277	777	2018
278	780	2015
279	781	2009
280	783	2004
281	784	1997
282	785	1990
283	788	1986
284	791	1985
285	793	1979
286	794	1974
287	796	1968
288	797	1962
289	798	1955
290	802	1955
291	805	1952
292	806	1946
293	808	1941
294	809	1935
295	811	1929
296	813	1926
297	816	1923
298	817	1917
299	819	1912
300	821	1907
301	822	1901
302	824	1895
303	828	1896
304	829	1890
305	831	1884
306	832	1879
307	833	1873
308	835	1867
309	836	1861
310	840	1860
311	841	1856
312	843	1850
313	844	1844
314	846	1839
315	847	1834
316	848	1828
317	851	1825
318	853	1822
319	855	1816
320	856	1812
321	857	1806
322	859	1801
323	860	1795
324	864	1795
325	866	1792
326	868	1787
327	869	1782
328	871	1777
329	873	1772
330	879	1777
331	881	1774
332	883	1769
333	885	1765
334	886	1760
335	890	1760
336	892	1756
337	894	1751
338	895	1746
339	897	1742
340	899	1738
341	902	1736
342	904	1731
343	906	1728
344	907	1723
345	911	1722
346	914	1720
347	916	1717
348	918	1712
349	921	1711
350	923	1708
351	933	1718
352	936	1716
353	939	1715
354	946	1720
355	949	1717
356	951	1713
357	953	1710
358	955	1705
359	964	1714
360	966	1710
361	968	1707
362	970	1703
363	977	1707
364	979	1704
365	982	1701
366	984	1698
367	987	1696
368	991	1695
369	994	1692
370	996	1689
371	998	1685
372	1000	1680
373	1001	1677
374	1004	1674
375	1017	1689
376	1022	1690
377	1033	1700
378	1035	1695
379	1038	1694
380	1044	1696
381	1046	1693
382	1048	1689
383	1050	1684
384	1059	1691
385	1060	1687
386	1063	1684
387	1068	1684
388	1070	1681
389	1073	1679
390	1076	1676
391	1079	1673
392	1083	1673
393	1085	1669
394	1087	1665
395	1089	1661
396	1090	1656
397	1091	1651
398	1093	1647
399	1096	1644
400	1098	1640
401	1099	1636
402	1101	1631
403	1102	1626
404	1105	1623
405	1107	1620
406	1110	1618
407	1112	1613
408	1113	1608
409	1114	1604
410	1116	1600
411	1117	1595
412	1121	1593
413	1122	1589
414	1124	1584
415	1125	1580
416	1127	1575
417	1128	1571
418	1131	1568
419	1134	1566
420	1136	1562
421	1137	1558
422	1139	1553
423	1140	1549
424	1142	1545
425	1144	1542
426	1146	1538
427	1148	1535
428	1150	1530
429	1151	1526
430	1153	1522
431	1157	1521
432	1159	1517
433	1160	1513
434	1163	1510
435	1164	1506
436	1167	1503
437	1168	1499
438	1171	1496
439	1173	1493
440	1175	1489
441	1177	1485
442	1178	1481
443	1182	1480
444	1183	1476
445	1184	1471
446	1186	1467
447	1187	1463
448	1188	1458
449	1190	1455
450	1193	1453
451	1195	1448
452	1196	1445
453	1198	1441
454	1199	1437
455	1202	1434
456	1206	1433
457	1207	1428
458	1208	1424
459	1210	1420
460	1211	1416
461	1212	1412
462	1216	1410
463	1217	1406
464	1219	1402
465	1220	1398
466	1222	1394
467	1223	1390
468	1224	1386
469	1228	1384
470	1230	1381
471	1231	1377
472	1232	1373
473	1234	1369
474	1235	1365
475	1237	1361
476	1241	1360
477	1242	1356
478	1243	1352
479	1244	1348
480	1246	1345
481	1248	1341
482	1250	1338
483	1252	1335
484	1253	1331
485	1255	1327
486	1257	1324
487	1258	1320
488	1259	1316
489	1264	1316
490	1265	1312
491	1267	1308
492	1269	1305
493	1270	1301
494	1271	1297
495	1273	1294
496	1277	1293
497	1278	1289
498	1280	1285
499	1282	1282
500	1283	1278
501	1284	1274
502	1287	1271
503	1289	1268
504	1290	1265
505	1292	1261
506	1293	1257
507	1295	1254
508	1297	1251
509	1298	1247
510	1300	1244
511	1301	1240
512	1308	1242
513	1310	1239
514	1315	1238
515	1316	1234
516	1318	1231
517	1319	1228
518	1321	1224
519	1324	1222
520	1326	1219
521	1328	1216
522	1330	1213
523	1332	1210
524	1333	1206
525	1337	1205
526	1339	1202
527	1341	1198
528	1343	1196
529	1344	1192
530	1345	1188
531	1351	1188
532	1353	1185
533	1355	1183
534	1357	1180
535	1359	1177
536	1363	1175
537	1365	1172
538	1366	1169
539	1368	1165
540	1369	1162
541	1370	1158
542	1374	1156
543	1376	1153
544	1377	1150
545	1379	1146
546	1380	1143
547	1382	1139
548	1386	1138
549	1388	1136
550	1390	1133
551	1392	1129
552	1393	1126
553	1395	1123
554	1398	1121
555	1399	1117
556	1401	1114
557	1403	1111
558	1404	1107
559	1406	1105
560	1409	1102
561	1411	1100
562	1413	1097
563	1414	1093
564	1416	1090
565	1417	1087
566	1419	1083
567	1421	1081
568	1422	1077
569	1424	1074
570	1425	1071
571	1427	1068
572	1428	1064
573	1430	1061
574	1433	1059
575	1435	1056
576	1436	1053
577	1437	1049
578	1439	1047
579	1441	1043
580	1442	1040
581	1446	1039
582	1448	1035
583	1449	1032
584	1451	1029
585	1452	1026
586	1453	1022
587	1456	1020
588	1459	1018
589	1461	1015
590	1463	1012
591	1464	1009
592	1466	1006
593	1467	1002
594	1470	1000
595	1471	997
596	1473	994
597	1475	991
598	1476	988
599	1477	985
600	1480	982
601	1482	980
602	1484	977
603	1485	974
604	1487	971
605	1488	967
606	1489	964
607	1492	962
608	1494	959
609	1495	956
610	1497	953
611	1499	950
612	1500	947
613	1502	944
614	1504	941
615	1506	939
616	1508	936
617	1510	933
618	1511	930
619	1512	926
620	1514	924
621	1516	921
622	1518	918
623	1520	916
624	1521	913
625	1522	909
626	1523	906
627	1525	903
628	1527	901
629	1530	899
630	1532	896
631	1533	893
632	1534	889
633	1536	886
634	1538	884
635	1540	881
636	1543	879
637	1545	876
638	1546	873
639	1548	870
640	1550	868
641	1553	866
642	1556	864
643	1558	861
644	1559	858
645	1560	855
646	1562	852
647	1564	849
648	1566	847
649	1568	844
650	1570	841
651	1571	838
652	1572	835
653	1574	833
654	1576	830
655	1578	827
656	1580	825
657	1581	822
658	1583	819
659	1584	816
660	1586	813
661	1588	811
662	1591	808
663	1593	806
664	1595	803
665	1596	800
666	1600	799
667	1602	796
668	1603	793
669	1605	790
670	1606	787
671	1608	785
672	1611	782
673	1613	780
674	1615	777
675	1616	774
676	1617	771
677	1619	769
678	1621	766
679	1623	763
680	1625	761
681	1626	758
682	1627	755
683	1629	752
684	1630	749
685	1632	747
686	1635	744
687	1637	742
688	1638	739
689	1640	736
690	1641	733
691	1642	731
692	1644	728
693	1646	725
694	1648	723
695	1650	720
696	1652	718
697	1655	716
698	1657	713
699	1658	710
700	1660	708
701	1662	705
702	1665	703
703	1668	701
704	1670	698
705	1671	695
706	1672	693
707	1674	690
708	1675	687
709	1678	685
710	1680	683
711	1682	680
712	1683	677
713	1685	674
714	1686	672
715	1688	669
716	1691	667
717	1693	665
718	1694	662
719	1696	659
720	1697	657
721	1699	654
722	1701	651
723	1705	649
724	1706	647
725	1707	644
726	1709	642
727	1711	639
728	1712	636
729	1716	634
730	1717	632
731	1718	629
732	1720	626
733	1722	624
734	1723	621
735	1724	618
736	1729	617
737	1730	614
738	1732	611
739	1733	609
740	1735	606
741	1736	603
742	1739	601
743	1741	599
744	1743	596
745	1745	594
746	1746	591
747	1747	588
748	1750	586
749	1752	584
750	1754	581
751	1757	579
752	1758	576
753	1761	574
754	1763	572
755	1765	569
756	1769	567
757	1771	565
758	1772	562
759	1775	560
760	1777	558
761	1778	555
762	1780	552
